2017-01-07 18:53:56,222 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using null lifecycle mapping for MavenProject: com.expenses:myexpenses:0.0.1-SNAPSHOT @ C:\Users\Anudeep Kumar\Desktop\Study\sts\Expenses\pom.xml.
2017-01-07 18:53:56,421 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-01-07 18:54:57,571 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.expenses:myexpenses:0.0.1-SNAPSHOT @ C:\Users\Anudeep Kumar\Desktop\Study\sts\Expenses\pom.xml.
2017-01-07 18:54:58,149 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Expenses/src/main/java
2017-01-07 18:54:58,151 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Expenses/src/main/resources
2017-01-07 18:54:58,160 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Expenses/src/main/resources
2017-01-07 18:54:58,171 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Expenses/src/test/java
2017-01-07 18:55:00,291 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2017-01-07 18:55:00,292 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-07 18:55:00,498 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.expenses:myexpenses:0.0.1-SNAPSHOT @ C:\Users\Anudeep Kumar\Desktop\Study\sts\Expenses\pom.xml.
2017-01-07 18:55:01,283 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Expenses/src/main/java
2017-01-07 18:55:01,283 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Expenses/src/main/resources
2017-01-07 18:55:01,284 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Expenses/src/main/resources
